         12555632 function calls (12460749 primitive calls) in 15.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.001    0.000    0.011    0.000 managers.py:1726(form_blocks)
      246    0.001    0.000    0.004    0.000 fromnumeric.py:73(_wrapreduction)
      103    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
      144    0.001    0.000    0.001    0.000 numerictypes.py:578(_can_coerce_all)
      733    0.001    0.000    0.004    0.000 common.py:508(is_datetime64_dtype)
      145    0.001    0.000    0.010    0.000 frame.py:2949(__getitem__)
      234    0.001    0.000    0.001    0.000 base.py:569(_simple_new)
     2128    0.001    0.000    0.002    0.000 abc.py:137(__instancecheck__)
       20    0.001    0.000    0.528    0.026 weighted.py:634(multi_source_dijkstra)
      299    0.001    0.000    0.002    0.000 base.py:4262(__getitem__)
       47    0.001    0.000    0.020    0.000 managers.py:1158(insert)
      901    0.001    0.000    0.005    0.000 common.py:577(is_timedelta64_dtype)
     1197    0.001    0.000    0.005    0.000 common.py:642(is_interval_dtype)
      242    0.001    0.000    0.001    0.000 necompiler.py:724(getArguments)
        5    0.001    0.000    0.001    0.000 base.py:4060(_try_convert_to_int_index)
       30    0.001    0.000    0.001    0.000 {pandas._libs.lib.infer_datetimelike_array}
      144    0.001    0.000    0.003    0.000 managers.py:971(iget)
        1    0.001    0.001    0.001    0.001 core.py:458(<listcomp>)
      242    0.001    0.000    0.021    0.000 series.py:860(construct_return)
      961    0.001    0.000    0.005    0.000 common.py:357(is_categorical)
       25    0.001    0.000    0.001    0.000 {pandas._libs.lib.clean_index_list}
     2783    0.001    0.000    0.001    0.000 common.py:209(classes)
       38    0.001    0.000    5.701    0.150 response.py:629(read_chunked)
       37    0.001    0.000    5.673    0.153 response.py:607(_handle_chunk)
        2    0.001    0.000    0.129    0.064 weakly_connected.py:109(is_weakly_connected)
     1507    0.001    0.000    0.001    0.000 _dtype.py:36(_kind_name)
      538    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
       73    0.001    0.000    0.005    0.000 frame.py:3668(_sanitize_column)
      407    0.001    0.000    0.001    0.000 _internal.py:830(npy_ctypes_check)
      269    0.000    0.000    0.003    0.000 _ufunc_config.py:446(__exit__)
      144    0.000    0.000    0.007    0.000 generic.py:3265(_get_item_cache)
      242    0.000    0.000    0.001    0.000 necompiler.py:535(getContext)
        2    0.000    0.000    1.068    0.534 geo_utils.py:46(induce_subgraph)
      907    0.000    0.000    0.001    0.000 common.py:1850(_get_dtype)
